,Event,Date,White,Black,Result,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,Gameplay,Points,WDL,Against,ELO,Opponent,EloDif,Opening,Country
85,Rated Bullet,2021-02-11 20:12:00,santificex,mil22n,0-1,1717,1704,-6,6,Standard,60+0,E61,Normal,. c4 g6 3. Nf3 Bg7 4. Nc3 d6 5. e3 O-O 6. Be2 c5 7. O-O cxd4 8. exd4 Nc6 9. Re1 Nd7 10. Bd3 Nxd4 11. Nxd4 Bxd4 12. Bh6 Bg7 13. Bxg7 Kxg7 14. Qg4 Nc5 15. Bc2 Bxg4 16. f3 Bd7 17. Re3 e6 18. Rae1 Bc6 19. Kf2 d5 20. cxd5 Bxd5 21. Nxd5 Qxd5 22. Be4 Nxe4+ 23. Rxe4 Qc5+ 24. Kg3 Rac8 25. h4 Qh5 26. Re5 f5 27. Rxe6 f4+ 28. Kf2 Qxh4+ 29. Ke2 Rc2+ 30. Kd3 Rfc8 31. Re7+ Kh6 32. R1e4 Qf2 33. Re2 Qc5 34. Ke4 Qc4+ 35. Ke5 Rc5+ 36. Kf6 Rxe2 37. Rxe2 Qxe2 38. g4 Qe5+ 39. Kf7 Rc7+ 40. Kf8 Qe7+ 41. Kg8 Qf7+ 42. Kh8 Qg7# 0-1,0.0,L,Worst Player,1717,mil22n,-6,King's Indian: 3.Nc3,INT
86,Rated Bullet,2021-02-11 20:08:00,santificex,Corke123,1/2-1/2,1717,1743,0,-1,Standard,60+0,A40,Normal, c4 Bb7 3. e3 e6 4. Nf3 Nf6 5. Be2 Be7 6. O-O d5 7. Nc3 O-O 8. cxd5 exd5 9. b4 c5 10. bxc5 bxc5 11. a4 cxd4 12. Qxd4 Nc6 13. Qd2 Bb4 14. Bb2 Rc8 15. Ne1 d4 16. exd4 Qxd4 17. Qxd4 Nxd4 18. Nb5 Nxe2+ 19. Kh1 a6 20. Bxf6 gxf6 21. h3 axb5 22. axb5 Bxe1 23. Rfxe1 Nc3 24. Ra7 Bd5 25. Rc1 Nxb5 26. Rxc8 Rxc8 27. Rd7 Be6 28. Rd3 Rc2 29. Rg3+ Kf8 30. Kg1 Nd4 31. Rd3 Ne2+ 32. Kh2 Nf4 33. Rf3 Nd5 34. Kg3 Rc3 35. Rxc3 Nxc3 36. f4 Ke7 37. Kf3 Bd5+ 38. Ke3 Ne4 39. g3 Ke6 40. g4 Ng3 41. f5+ Ke5 42. Kf2 Ne4+ 43. Kf3 Ng5+ 44. Kg3 Nxh3 45. Kxh3 Kf4 46. Kh4 h6 47. Kh5 Bf3 48. Kh4 Bxg4 1/2-1/2,0.5,D,Better Player,1717,Corke123,0,Queen's Pawn Game,INT
87,Rated Bullet,2021-02-11 20:08:00,graciasdenada,santificex,1-0,1819,1721,4,-4,Standard,60+0,B01,Normal, exd5 e6 3. Nc3 exd5 4. d4 Nf6 5. Nf3 Bb4 6. Bd3 O-O 7. Kf1 Re8 8. h3 c5 9. dxc5 Bxc5 10. Bg5 Nc6 11. Qd2 h6 12. Bxh6 gxh6 13. Qxh6 Bf5 14. Bxf5 Qd6 15. Ng5 d4 16. Nce4 Qe5 17. Nxf6+ Qxf6 18. Qxf6 Ne5 19. Bh7+ Kf8 20. Re1 Re6 21. Qf5 Rae8 22. Rxe5 Rxe5 23. Qxf7# 1-0,0.0,L,Better Player,1721,graciasdenada,-4,Scandinavian (Centre Counter),INT
88,Rated Bullet,2021-02-11 19:56:00,jruf_6,santificex,0-1,1718,1715,-6,6,Standard,60+0,B01,Normal, exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nf6 5. d4 e6 6. Bg5 Bb4 7. Bxf6 Qxf6 8. a3 Ba5 9. b4 Bb6 10. Ne2 a5 11. g3 axb4 12. axb4 Rxa1 13. Qxa1 0-1,1.0,W,Better Player,1715,jruf_6,6,Scandinavian (Centre Counter),INT
89,Rated Bullet,2021-02-11 19:54:00,santificex,stephenlowe,0-1,1720,1759,-5,5,Standard,60+0,A56,Normal,. c4 g6 3. e3 Bg7 4. Be2 O-O 5. Nf3 c5 6. O-O cxd4 7. exd4 d5 8. Nc3 Nc6 9. cxd5 Nxd5 10. Nxd5 Qxd5 11. Be3 Bg4 12. Rc1 Rad8 13. h3 Bf5 14. Bd3 Bxd3 15. Qxd3 e5 16. Nxe5 Nxe5 17. Qd2 Nc4 18. Rxc4 Qxc4 19. Rc1 Qd5 20. Rc7 Bxd4 21. Bxd4 Qxd4 22. Qh6 Qd1+ 23. Kh2 Qd6+ 24. g3 Qxc7 25. Qf4 Qxf4 26. gxf4 Rd2 27. Kg3 Rfd8 28. h4 R8d3+ 29. Kg4 Rxb2 30. h5 Kg7 31. hxg6 hxg6 32. Kg5 Rxf2 33. f5 f6+ 34. Kg4 g5 35. Kh5 Rg3 36. a4 Rh2# 0-1,0.0,L,Better Player,1720,stephenlowe,-5,Benoni: 2...c5,INT
90,Rated Bullet,2021-02-11 19:52:00,mallamfifa,santificex,1-0,1795,1725,5,-5,Standard,60+0,B01,Time forfeit, exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Nf3 e6 6. Bc4 Bb4 7. O-O Nc6 8. Bd2 Na5 9. Bd3 O-O 10. Ne4 Bxd2 11. Qxd2 Nxe4 12. Bxe4 Nc6 13. c3 g6 14. Rad1 Bd7 15. Bb1 b6 16. Rfe1 Rb8 17. Ne5 Nxe5 18. Rxe5 Bc6 19. Qh6 Qf6 20. Rh5 Qg7 21. Qxg7+ Kxg7 22. Rh3 f5 23. Re3 Rbe8 24. f4 h5 25. g3 Re7 26. h4 Rfe8 27. Re5 Bd5 28. Rde1 c5 29. dxc5 bxc5 30. a3 a5 31. Bd3 c4 32. Bc2 Kf6 33. Ba4 Rd8 34. Bb5 Bf3 35. a4 g5 36. hxg5+ Kg6 37. Bxc4 h4 38. Rxe6+ Kf7 39. Rxe7+ Kg6 40. gxh4 Bc6 41. Bf7+ Kg7 42. h5 Bxa4 43. h6+ Kf8 44. h7 1-0,0.0,L,Better Player,1725,mallamfifa,-5,Scandinavian (Centre Counter),INT
91,Rated Bullet,2021-02-11 19:50:00,heroofhasting,santificex,0-1,1730,1719,-5,6,Standard,60+0,B01,Normal, exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Bg5 e6 6. Nf3 Nbd7 7. Ne5 Be7 8. Bd3 h6 9. Bh4 g5 10. Bg3 Nxe5 11. dxe5 Nd5 12. Nxd5 exd5 13. O-O c6 14. f4 Bd7 15. f5 Qb6+ 16. Bf2 c5 17. c4 d4 18. f6 Bf8 19. a3 O-O-O 20. b4 cxb4 21. axb4 Qxb4 22. Rb1 Qc5 23. Be4 Bc6 24. Bxc6 Qxc6 25. Qa4 Qxa4 0-1,1.0,W,Better Player,1719,heroofhasting,6,Scandinavian (Centre Counter),INT
92,Rated Bullet,2021-02-11 19:48:00,santificex,kalinkawf,1-0,1714,1648,5,-5,Standard,60+0,D45,Normal, c4 c6 3. e3 e6 4. Nc3 Nf6 5. Nf3 Bb4 6. Be2 Bd7 7. O-O O-O 8. a3 Ba5 9. b4 Bc7 10. c5 b6 11. Bb2 bxc5 12. bxc5 Na6 13. a4 Ba5 14. Bd3 Nc7 15. Ne5 Qe7 16. Nxd7 Qxd7 17. f4 Na6 18. Ne2 Nb4 19. Ng3 Nxd3 20. Qxd3 Ne4 21. Nxe4 dxe4 22. Qxe4 Rad8 23. Qe5 Rb8 24. d5 Rxb2 25. Qxb2 Qxd5 26. Rad1 Qe4 27. Qe5 Qg6 28. Rf3 Rc8 29. Rg3 Qh6 30. Rd7 1-0,1.0,W,Worst Player,1714,kalinkawf,5,Semi-Slav: 5.e3,INT
93,Rated Bullet,2021-02-11 19:46:00,Prog_Jacob,santificex,1-0,1745,1719,6,-5,Standard,60+0,D00,Normal, Bf4 e5 3. e3 exf4 4. exf4 Nf6 5. Nf3 Bb4+ 6. c3 Bd6 7. Nbd2 O-O 8. Qc2 Nc6 9. Bd3 g6 10. Ne5 Nxe5 11. fxe5 Ne4 12. exd6 cxd6 13. Nxe4 dxe4 14. Bxe4 f5 15. Bd5+ Kg7 16. O-O-O Re8 17. h4 Be6 18. Bf3 Qb6 19. h5 Qa6 20. hxg6 Qxa2 21. gxh7 Rh8 22. Kd2 Qc4 23. Be2 Qd5 24. Bd3 Qxg2 25. Rdg1 Qxg1 26. Rxg1+ Kxh7 27. Rh1+ Kg7 28. Rxh8 Rxh8 29. Bxf5 Bxf5 30. Qxf5 Rh2 31. Qg5+ Kf7 32. Qf4+ Ke7 33. Qxh2 Kd7 34. Qh6 Kc6 35. Qe6 b6 36. Qc4+ Kb7 37. f3 a5 38. f4 b5 39. Qd5+ Kb6 40. f5 a4 41. f6 a3 42. bxa3 b4 43. axb4 Kc7 44. f7 Kd7 45. f8=R Ke7 46. Rf7+ Ke8 47. Qe6+ Kd8 48. Rd7+ Kc8 49. Qe8# 1-0,0.0,L,Better Player,1719,Prog_Jacob,-5,Queen's Pawn Game,INT
94,Rated Bullet,2021-02-11 19:44:00,santificex,Varvikeskus,1-0,1713,1771,6,-6,Standard,60+0,D37,Time forfeit, c4 d5 3. e3 dxc4 4. Nf3 Nf6 5. Nc3 Bb4 6. Bxc4 Bxc3+ 7. bxc3 a6 8. O-O b5 9. Bd3 Nbd7 10. a4 c5 11. axb5 cxd4 12. cxd4 Bb7 13. bxa6 Bd5 14. Ba3 Be4 15. Bxe4 Nxe4 16. Qa4 Nc3 17. Qc4 Nd5 18. Ne5 Nxe5 19. dxe5 Rc8 20. Qe4 f6 21. exf6 Qxf6 22. Rad1 Kf7 23. f4 Nc3 24. Rd7+ Ke8 25. Qd4 Qxd4 26. exd4 Ne2+ 27. Kf2 Nc3 28. Rd6 Kf7 29. Rb6 Ra8 30. Bc5 Nd5 31. Rd6 Rhc8 32. a7 Nc7 33. Bb6 Nb5 34. Rd7+ Kf6 35. Rc7 Nxa7 36. Bxa7 Rxc7 37. Bc5 1-0,1.0,W,Better Player,1713,Varvikeskus,6,QGD: 4.Nf3,INT
95,Rated Bullet,2021-02-11 19:42:00,Sandy2011,santificex,0-1,1709,1707,-6,6,Standard,60+0,B01,Time forfeit, exd5 Qxd5 3. Nc3 Qd8 4. Bc4 Nf6 5. d3 e6 6. Nf3 Be7 7. O-O O-O 8. h3 a6 9. Be3 b5 10. Bb3 c5 11. Qe2 c4 12. dxc4 bxc4 13. Bxc4 Nc6 14. Bd3 Bb7 15. Rad1 Qc7 16. Qd2 Rad8 17. Qe2 g6 18. Na4 Nb4 19. Bb6 Qc6 20. Bxd8 Rxd8 21. a3 Nxd3 22. cxd3 Nd5 23. Nc3 Nxc3 24. bxc3 Qxc3 25. d4 Qc6 26. Qd3 f5 27. Rfe1 Qd5 28. Qe3 a5 29. Qxe6+ Qxe6 30. Rxe6 Re8 31. d5 Kf7 32. Ng5+ Kg7 33. d6 Bxg5 34. Rxe8 Be4 35. Rxe4 fxe4 36. d7 Bd8 37. Re1 Kf6 38. Rxe4 Kf5 39. Re8 Bb6 40. d8=Q Bxd8 41. Rxd8 Ke4 42. Ra8 h5 43. Rxa5 Kf4 0-1,1.0,W,Better Player,1707,Sandy2011,6,Scandinavian (Centre Counter),INT
96,Rated Bullet,2021-02-11 19:38:00,santificex,hihihihihi20,1-0,1702,1670,5,-5,Standard,60+0,D02,Normal, c4 dxc4 3. Nf3 e6 4. Nc3 Nc6 5. e3 Nf6 6. Bxc4 Bb4 7. O-O O-O 8. a3 Be7 9. e4 Nd7 10. d5 Nce5 11. Be2 exd5 12. exd5 Nxf3+ 13. Bxf3 Bd6 14. h3 Ne5 15. Bh5 Qf6 16. Ne4 Qh4 17. Nxd6 cxd6 18. Bf4 Bxh3 19. Bxe5 dxe5 20. gxh3 Qg5+ 21. Qg4 Qf6 22. f4 exf4 23. Rxf4 Qd4+ 24. Rxd4 Rae8 25. Kh2 Re2+ 26. Kg3 Rfe8 27. Kh4 R2e3 28. Rf1 g6 29. Bxg6 fxg6 30. Qf4 Rf8 31. Qxf8# 1-0,1.0,W,Worst Player,1702,hihihihihi20,5,Queen's Pawn: 2.Nf3,INT
97,Rated Bullet,2021-02-11 19:36:00,black-suat,santificex,1-0,1703,1707,6,-5,Standard,60+0,D21,Time forfeit, c4 dxc4 3. Nf3 e5 4. e3 exd4 5. Nxd4 Nf6 6. Bxc4 Bb4+ 7. Bd2 Bxd2+ 8. Qxd2 O-O 9. O-O Nc6 10. Qe2 Nxd4 11. exd4 Re8 12. Qd3 Be6 13. Bxe6 fxe6 14. Nc3 c5 15. Ne4 cxd4 16. Nxf6+ Qxf6 17. Rfe1 Rad8 18. f4 Qf5 19. Qf3 d3 20. Re5 Qf6 21. g4 g6 22. g5 Qg7 23. Rd1 d2 24. Kg2 Rd5 25. Re2 Red8 26. Rxe6 Qxb2 27. Re2 Qc1 28. Re8+ Rxe8 29. Qxd5+ Kf8 30. Rxd2 Qc6 31. Qxc6 bxc6 32. Rc2 Rc8 33. Kf3 Ke7 34. h4 Ke6 35. Kg4 Kd5 36. h5 Kd4 37. h6 Kd3 38. Rb2 c5 39. Rb3+ Kc2 40. Ra3 Rc7 41. Kf3 c4 42. Re3 Kb2 43. Re2+ Ka3 44. Re3+ c3 45. Re2 Kb4 46. Rc2 a5 47. Kg3 1-0,0.0,L,Worst Player,1707,black-suat,-5,QGA: 3.Nf3,INT
98,Rated Bullet,2021-02-11 14:28:00,santificex,SexySadie,1-0,1702,1701,5,-5,Standard,60+0,A50,Normal,. c4 e6 3. e3 d5 4. Be2 Nbd7 5. Nf3 c5 6. Nc3 a6 7. O-O dxc4 8. Bxc4 b5 9. Be2 c4 10. b3 cxb3 11. axb3 Bb7 12. Ba3 Bxa3 13. Rxa3 O-O 14. b4 Nb6 15. Ne5 Rc8 16. h3 Nfd5 17. Nxd5 Nxd5 18. e4 Nc3 19. Qd3 Nxe2+ 20. Qxe2 Qh4 21. Rg3 Qxe4 22. Qh5 g6 23. Qh6 Rc2 24. Nd7 Rd8 25. Nf6+ Kh8 26. Qxh7# 1-0,1.0,W,Worst Player,1702,SexySadie,5,Indian: 2.c4,INT
99,Rated Bullet,2021-02-11 14:26:00,santificex,arpan9818,0-1,1707,1702,-5,7,Standard,60+0,E60,Normal,. c4 g6 3. Nf3 Bg7 4. e3 O-O 5. Be2 c6 6. Nc3 d5 7. O-O dxc4 8. Re1 b5 9. b3 a5 10. bxc4 b4 11. Nb1 a4 12. a3 b3 13. Nc3 Bg4 14. h3 Bxf3 15. Bxf3 Ne4 16. Nxe4 f5 17. Nc5 h6 18. d5 Qd6 19. Rb1 Rf6 20. Ne6 Rxe6 21. dxe6 Qxe6 22. Bb2 Kh7 23. Bxg7 Kxg7 24. c5 Nd7 25. Qd3 Ne5 26. Qc3 Kf7 27. Rbd1 Nxf3+ 28. gxf3 g5 29. Kh2 Kg6 30. Qd4 h5 31. Rg1 g4 32. fxg4 hxg4 33. hxg4 Rh8+ 34. Kg3 fxg4 35. Kf4 Qf6+ 36. Kxg4 Qf5+ 37. Kg3 Rh3+ 38. Kg2 Kh7 39. Qe4 Qxe4+ 40. Kf1 Qf3 41. Rd8 Rh2 42. Ke1 Qxf2+ 43. Kd1 Qxg1# 0-1,0.0,L,Worst Player,1707,arpan9818,-5,King's Indian,INT
