,Event,Date,White,Black,Result,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,Gameplay,Points,WDL,Against,ELO,Opponent,EloDif,Opening,Country
0,Rated Rapid ,2021-02-14 13:08:00,santificex,DaRockwilder,1-0,1512,1518,8,-6,Standard,900+10,E10,Normal,. c4 e6 3. Nf3 d5 4. c5 b6 5. b4 Nc6 6. Nc3 Be7 7. a3 O-O 8. g3 Bb7 9. Bg2 bxc5 10. bxc5 Nd7 11. O-O e5 12. e3 e4 13. Nd2 Ba6 14. Re1 Na5 15. Bb2 Nc4 16. Rb1 c6 17. a4 Qa5 18. Nxc4 Bxc4 19. Qd2 Rab8 20. Bh3 Nf6 21. Qc2 Bd3 22. Qd2 Bxb1 23. Rxb1 Rb3 24. Ba1 Rxb1+ 25. Kg2 Rxa1 26. Qb2 Rxa4 27. Nxa4 Qxa4 28. Qb7 Re8 29. Bd7 Nxd7 30. Qxd7 Kf8 31. h4 a5 32. h5 h6 33. g4 g5 34. f4 Qb3 35. Qxc6 a4 36. Qxh6+ Kg8 37. fxg5 Bxg5 38. Qxg5+ Kf8 39. h6 Qc2+ 40. Kg3 Qd1 41. h7 Qh1 42. Qg8+ Ke7 43. Qg5+ f6 44. Qg7+ Ke6 45. c6 a3 46. Qg8+ Ke7 47. Qxd5 Qf3+ 48. Kh4 Qh1+ 49. Kg3 Qxh7 50. Qd7+ Kf8 51. Qxh7 a2 52. Qa7 Rc8 53. Qxa2 Rxc6 54. Qa8+ 1-0,1.0,W,Better Player,1512,DaRockwilder,8,Neo-Indian: 3.Nf3,INT
1,Rated Rapid ,2021-02-14 07:20:00,santificex,Danny098,1-0,1504,1488,8,-13,Standard,900+10,E10,Normal, c4 Nf6 3. Nc3 e6 4. Nf3 c5 5. e3 Nc6 6. Be2 Be7 7. O-O O-O 8. a3 a6 9. dxc5 Bxc5 10. b4 Bb6 11. c5 Bc7 12. Bb2 e5 13. Na2 e4 14. Nd4 Nxd4 15. Bxd4 Re8 16. g3 Bf5 17. Re1 Bh3 18. Bxf6 Qxf6 19. Bh5 g6 20. Bg4 Bxg4 21. Qxg4 h5 22. Qe2 Rad8 23. Rad1 d4 24. exd4 Rxd4 25. Nc3 Rxd1 26. Rxd1 Qe7 27. Nd5 Qe5 28. f4 Qf5 29. Nxc7 Rc8 30. Rd5 Qg4 31. Qxg4 hxg4 32. Nxa6 bxa6 33. Re5 Rd8 34. Rxe4 Rd1+ 35. Kf2 Rd2+ 36. Re2 Rd3 37. c6 Rc3 38. Re8+ Kg7 39. Rc8 Rc2+ 40. Ke3 Rc3+ 41. Ke4 Rxa3 42. c7 Rc3 43. Kd4 Rc6 44. Kd5 Rc1 45. Ke5 f6+ 46. Ke6 Rc6+ 47. Kd7 Rc4 48. Re8 Rd4+ 49. Kc8 Rxb4 50. Rd8 Rc4 51. Rd7+ Kh6 52. Kb8 Rb4+ 53. Ka7 Rc4 54. Kxa6 Rc2 55. Kb7 f5 56. c8=Q Rxc8 57. Kxc8 g5 58. Rd6+ Kh5 59. fxg5 Kxg5 60. Rd5 Kg6 61. Kd7 Kf6 62. Kd6 Kg6 63. Ke5 Kg5 64. Rd8 Kg6 65. Rg8+ Kf7 66. Rg5 f4 67. gxf4 1-0,1.0,W,Worst Player,1504,Danny098,8,Neo-Indian: 3.Nf3,INT
2,Rated Rapid ,2021-02-14 05:50:00,santificex,mohamed_1999,1-0,1498,1428,6,-5,Standard,900+10,D02,Normal, c4 dxc4 3. Nf3 e6 4. Nc3 Nc6 5. e3 Nf6 6. Bxc4 Bb4 7. O-O O-O 8. Bd2 Qe7 9. a3 Bxc3 10. Bxc3 Ne4 11. Ne5 Nxe5 12. dxe5 Qg5 13. Bb4 c5 14. f4 Qh4 15. Be1 Qh6 16. b4 b6 17. Qf3 Bb7 18. Rd1 Rab8 19. Rd7 Bc6 20. Rd6 Bb7 21. Rd7 Bc6 22. Rxa7 Rbc8 23. b5 Nd2 24. Qg3 Be4 25. Bxd2 Rcd8 26. Rf2 Kh8 27. a4 f6 28. Bxe6 fxe5 29. a5 bxa5 30. Bxa5 Rde8 31. Bd7 Rd8 32. Bxd8 exf4 33. exf4 Rxd8 34. Re2 Bg6 35. Qe3 Qh5 36. b6 h6 37. b7 Rxd7 38. b8=Q+ Kh7 39. Rxd7 Bf5 40. Qf8 Bxd7 41. Qee7 Qg6 42. Qxd7 Qb1+ 43. Kf2 Kg6 44. Qfxg7+ Kh5 45. Re5+ Kh4 46. Qdg4# 1-0,1.0,W,Worst Player,1498,mohamed_1999,6,Queen's Pawn: 2.Nf3,INT
3,Rated Bullet,2021-02-14 05:02:00,PritamEiga,santificex,0-1,1676,1702,-5,6,Standard,60+0,B01,Time forfeit, exd5 Qxd5 3. d4 Qd8 4. Nf3 Nf6 5. c3 e6 6. Bc4 Bd6 7. Be2 Bd7 8. Nbd2 b6 9. O-O O-O 10. Re1 Bc6 11. b3 a5 12. Bb2 Ng4 13. h3 Nf6 14. c4 Be7 15. Bd3 g6 16. Ne4 Nxe4 17. Bxe4 Bxe4 18. Rxe4 Nc6 19. Re1 Bb4 20. Re2 Kg7 21. a3 Bd6 22. Bc3 a4 23. b4 b5 24. c5 Be7 25. Rd2 Qd5 26. Ne5 Nxe5 27. dxe5 Qc4 28. Bd4 Rfd8 29. Be3 Rxd2 30. Bxd2 Rd8 31. Rc1 Qe4 32. Rc2 Bg5 33. Qc1 Qe2 34. Bxg5 Rd1+ 35. Qxd1 Qxd1+ 36. Kh2 Qxc2 37. Be3 f5 38. g3 g5 39. Kg2 f4 40. gxf4 gxf4 41. Bd4 Qe4+ 42. Kf1 Qxd4 43. Ke2 Qxe5+ 44. Kf3 Qb2 45. Kg4 Qxa3 0-1,1.0,W,Worst Player,1702,PritamEiga,6,Scandinavian (Centre Counter),INT
4,Rated Bullet,2021-02-14 05:00:00,otrodelmonton,santificex,1-0,1679,1708,6,-6,Standard,60+0,B01,Time forfeit, d3 dxe4 3. dxe4 Qxd1+ 4. Kxd1 Nf6 5. Nc3 e5 6. Nf3 Bb4 7. Be2 Bxc3 8. bxc3 O-O 9. Be3 Nc6 10. Ke1 b6 11. Nd2 Bb7 12. f3 Rad8 13. Kf2 h6 14. Nb3 g5 15. Rhd1 Rxd1 16. Rxd1 Kg7 17. g3 h5 18. f4 gxf4 19. gxf4 Ng4+ 20. Kf3 Nxe3 21. Kxe3 exf4+ 22. Kxf4 f5 23. Rg1+ Kh6 24. exf5 Bc8 25. Bd3 a6 26. Nd4 Ne7 27. Ke5 c5 28. Kd6 Nxf5+ 29. Nxf5+ Bxf5 30. Bxa6 Rd8+ 31. Ke7 Rd7+ 32. Kf6 Bh7 33. Bb5 Ra7 34. a4 Ra8 35. Ke5 Re8+ 36. Kd6 Rd8+ 37. Kc7 Rf8 38. Kxb6 Rf2 39. Rc1 Rxh2 40. Kxc5 Bxc2 41. a5 Be4 42. a6 Ra2 43. a7 Rxa7 44. Kb6 Rb7+ 45. Ka6 Rb8 46. c4 Ra8+ 47. Kb6 Rb8+ 48. Kc5 Rc8+ 49. Kd4 Bb7 50. Bd7 Rd8 51. c5 1-0,0.0,L,Worst Player,1708,otrodelmonton,-6,Scandinavian (Centre Counter),INT
5,Rated Bullet,2021-02-14 04:58:00,santificex,nmpride,1-0,1703,1683,5,-5,Standard,60+0,D15,Time forfeit, c4 Nf6 3. Nc3 dxc4 4. Nf3 c6 5. e3 b5 6. b3 cxb3 7. axb3 e6 8. Be2 Bb4 9. O-O Bxc3 10. Ra2 b4 11. Bb2 Bxb2 12. Rxb2 O-O 13. Qd2 a5 14. Bc4 Ba6 15. Bxa6 Nxa6 16. Ne5 Qc7 17. f4 Nd7 18. Ng4 Qd8 19. Qd3 Nf6 20. Ne5 Nd7 21. Nf3 Qb6 22. Ng5 g6 23. Rf3 Nf6 24. Rh3 Nh5 25. g4 f6 26. gxh5 fxg5 27. hxg6 Rf5 28. gxh7+ Kh8 29. e4 Rxf4 30. e5 c5 31. Qg6 Qc7 32. Rh6 Raf8 33. Qxg5 Qg7 34. Qxg7+ Kxg7 35. Rh3 Rh8 36. Kg2 Rxh7 37. Rxh7+ Kxh7 38. Rf2 Rxd4 39. Rf7+ 1-0,1.0,W,Worst Player,1703,nmpride,5,Slav: 4.Nc3,INT
6,Rated Bullet,2021-02-13 22:58:00,frank4up,santificex,0-1,1738,1697,-7,6,Standard,60+0,B01,Normal, Nc3 d4 3. Nce2 e5 4. d3 c5 5. f4 Nf6 6. fxe5 Nfd7 7. Nf3 f6 8. exf6 Nxf6 9. Bg5 Be7 10. e5 Nfd7 11. Bxe7 Qxe7 12. Qd2 O-O 13. O-O-O Nxe5 14. Nxe5 Qxe5 15. Re1 Qe3 16. Qxe3 dxe3 17. Ng3 Re8 18. Ne4 Nc6 19. Nxc5 Be6 20. Nxe6 Rxe6 21. Be2 Nd4 22. Bf3 Nxf3 23. gxf3 Rf8 24. Rhf1 Rf4 25. d4 Rxd4 26. c3 Rd2 27. Re2 Rxe2 0-1,1.0,W,Better Player,1697,frank4up,6,Scandinavian (Centre Counter),NG
7,Rated Bullet,2021-02-13 22:52:00,santificex,Dariva7,1-0,1691,1702,6,-5,Standard,60+0,A40,Time forfeit, c4 Bg7 3. Nf3 d6 4. e3 Nd7 5. Be2 Ngf6 6. O-O O-O 7. Nc3 Re8 8. d5 c6 9. Re1 cxd5 10. cxd5 e6 11. e4 exd5 12. exd5 b6 13. Bc4 Bb7 14. Bg5 Qc7 15. b3 Nc5 16. Rxe8+ Rxe8 17. h3 a6 18. Qc2 b5 19. Bxf6 bxc4 20. Bxg7 cxb3 21. axb3 Kxg7 22. Ne4 Bxd5 23. Nxc5 dxc5 24. Nd2 Be4 25. Qc3+ f6 26. Nxe4 Rxe4 27. Rxa6 Qf4 28. Ra7+ Kh6 29. Ra2 Qd6 30. Qg3 Qd1+ 31. Kh2 Qd5 32. f3 Re5 33. Rf2 Rg5 34. Qf4 1-0,1.0,W,Better Player,1691,Dariva7,6,Queen's Pawn Game,INT
8,Rated Bullet,2021-02-13 22:52:00,willygradefes,santificex,1-0,1680,1697,6,-6,Standard,60+0,B01,Normal, exd5 Qxd5 3. d4 Qd8 4. Nc3 Nf6 5. f4 e6 6. Nf3 Bb4 7. Bd3 Nc6 8. Bd2 O-O 9. O-O a5 10. a3 Bxc3 11. bxc3 b5 12. Ne5 Nxe5 13. fxe5 Nd5 14. Bxb5 Ba6 15. Bxa6 Rxa6 16. Qe2 f6 17. Qxa6 fxe5 18. Qxe6+ Kh8 19. Rxf8+ Qxf8 20. Qxd5 Qf4 21. Bxf4 exf4 22. Qd8# 1-0,0.0,L,Worst Player,1697,willygradefes,-6,Scandinavian (Centre Counter),INT
9,Rated Bullet,2021-02-13 22:48:00,santificex,ksmall,0-1,1701,1745,-4,5,Standard,60+0,A40,Normal, c4 exd4 3. Qxd4 Nc6 4. Qd1 g6 5. Nf3 Bg7 6. g3 Nf6 7. Bg2 O-O 8. O-O d6 9. Bg5 Bg4 10. Nc3 Qd7 11. h3 Bxh3 12. Bxf6 Bxg2 13. Kxg2 Bxf6 14. e4 Bxc3 15. bxc3 Rad8 16. Qe2 Ne5 17. Ng5 h6 18. Nf3 Rfe8 19. Nxe5 Rxe5 20. Qf3 Rde8 21. Rae1 Qc6 22. Re3 Rxe4 23. Rxe4 Rxe4 24. Re1 Rxe1 25. Qxc6 bxc6 26. Kf3 Rc1 27. Kf4 Rxc3 28. f3 Rxc4+ 29. Ke3 Rc2 30. f4 Rxa2 31. g4 Ra3+ 32. Ke4 Ra4+ 33. Kf3 Ra5 34. f5 Rd5 35. f6 a5 36. Kf4 a4 37. g5 a3 38. gxh6 a2 39. Ke4 a1=Q 40. h7+ Kxh7 41. Kf4 Qxf6+ 42. Ke4 Qd4+ 43. Kf3 Rf5+ 44. Ke2 Qe4+ 45. Kd2 Rf2+ 46. Kc3 Rf3+ 47. Kd2 Qb4+ 48. Ke2 Ra3 49. Kd1 Qb2 0-1,0.0,L,Better Player,1701,ksmall,-4,Queen's Pawn Game,INT
10,Rated Bullet,2021-02-13 22:46:00,wanderazmind,santificex,1-0,1710,1707,6,-6,Standard,60+0,B01,Normal, exd5 Qxd5 3. Nf3 Qd8 4. d4 Nf6 5. c4 e6 6. Nc3 Bb4 7. Bd2 Bxc3 8. bxc3 O-O 9. Qb3 Nc6 10. Bd3 a6 11. O-O Na5 12. Qc2 Nc6 13. Rfe1 g6 14. Bh6 Re8 15. Ne5 Nxe5 16. dxe5 Nd7 17. Qe2 c5 18. Qg4 f5 19. exf6 Nxf6 20. Qg3 Bd7 21. Rad1 Bc6 22. Bg5 Qe7 23. Qh4 h5 24. Bxf6 Qf7 25. Qg5 Rad8 26. Bxg6 Rxd1 27. Rxd1 Qc7 28. Bxe8+ Kf8 29. Bxc6 bxc6 30. Rd8+ Kf7 31. Qg7# 1-0,0.0,L,Better Player,1707,wanderazmind,-6,Scandinavian (Centre Counter),INT
11,Rated Bullet,2021-02-13 22:44:00,santificex,Bakurinsky777,0-1,1713,1713,-6,6,Standard,60+0,A40,Time forfeit, c4 Bg7 3. Nf3 d6 4. e3 e5 5. Be2 f5 6. Nc3 e4 7. Nd2 Be6 8. f3 d5 9. O-O Ne7 10. cxd5 Nxd5 11. Nxd5 Bxd5 12. Bb5+ c6 13. Be2 O-O 14. f4 b5 15. b3 a6 16. Bb2 Nd7 17. Rc1 Rc8 18. b4 Nb6 19. Nb3 Nc4 20. Bxc4 Bxc4 21. Re1 Qd5 22. Nc5 Ra8 23. Qd2 Rfc8 24. Qf2 Bxa2 25. Qh4 Qd6 26. Rc2 Bc4 27. Qg5 a5 28. bxa5 Rxa5 29. Rec1 Ra2 30. Nxe4 fxe4 31. Rxc4 bxc4 32. Bc3 Rb8 33. d5 cxd5 34. Bxg7 Kxg7 35. Qe5+ Qxe5 36. fxe5 Rc8 37. h3 Ra5 38. Kh2 c3 39. Rc2 Rb5 0-1,0.0,L,0,1713,Bakurinsky777,-6,Queen's Pawn Game,INT
12,Rated Bullet,2021-02-13 22:40:00,santificex,nmpride,1-0,1708,1665,5,-5,Standard,60+0,D21,Time forfeit, c4 dxc4 3. Nf3 c5 4. Nc3 cxd4 5. Nxd4 e5 6. Nf3 Qxd1+ 7. Nxd1 b5 8. Nc3 Bd7 9. b3 b4 10. Ne4 f5 11. Ned2 c3 12. Nc4 e4 13. Nh4 Nf6 14. e3 Nc6 15. Nd6+ Bxd6 16. Bb5 O-O 17. Bxc6 Bxc6 18. Nxf5 Be5 19. O-O g6 20. Nd4 Bxd4 21. exd4 Rad8 22. Be3 Nd5 23. Rac1 Nxe3 24. fxe3 Rxf1+ 25. Kxf1 Bb5+ 26. Kf2 Bd3 27. a3 Rf8+ 28. Kg3 a5 29. axb4 axb4 30. h4 Ra8 31. Kf4 Ra3 32. Kg5 Rxb3 33. Rf1 Ra3 34. Rf6 Ra7 35. Rb6 c2 36. Rxb4 c1=Q 37. Kf6 Qc6+ 38. Kg5 Qd6 39. Rb5 Rf7 40. g4 Qf6+ 41. Kh6 1-0,1.0,W,Worst Player,1708,nmpride,5,QGA: 3.Nf3,INT
13,Rated Bullet,2021-02-13 22:38:00,demission,santificex,0-1,1695,1702,-5,6,Standard,60+0,D00,Time forfeit, Nc3 e5 3. Bf4 exd4 4. Qxd4 Nf6 5. Bg5 Bd6 6. Bxf6 gxf6 7. Qxd5 Be6 8. Qd3 Nc6 9. O-O-O Qe7 10. e4 O-O-O 11. Qb5 Kb8 12. g3 Ne5 13. f4 Bc4 14. Bxc4 Nxc4 15. Qxc4 c6 16. Nf3 Rd7 17. e5 fxe5 18. fxe5 Bxe5 19. Rhe1 Rhd8 20. Rxd7 Rxd7 21. Rxe5 Qf6 22. Re8+ Kc7 23. Nb5+ Kb6 24. Re5 Qxf3 25. Qc5+ Ka6 26. Nd4 Qf1+ 27. Kd2 Qf2+ 28. Re2 Qxd4+ 0-1,1.0,W,Worst Player,1702,demission,6,Queen's Pawn Game,INT
14,Rated Bullet,2021-02-13 22:36:00,imeverywhere_xd,santificex,1-0,1500,1706,450,-4,Standard,60+0,D20,Normal, c4 dxc4 3. Nc3 e5 4. dxe5 Qxd1+ 5. Kxd1 f6 6. e3 fxe5 7. Bxc4 Nf6 8. Nf3 Bb4 9. Nxe5 Bxc3 10. bxc3 Ke7 11. Kc2 Be6 12. Bxe6 Kxe6 13. Nf3 Nc6 14. Nd4+ Nxd4+ 15. cxd4 c5 16. Bb2 Rac8 17. Kd2 cxd4 18. Bxd4 Nd5 19. Rac1 Rxc1 20. Rxc1 Nb4 21. a3 Nc6 22. Kd3 Rd8 23. Rc5 a6 24. Rg5 g6 25. Rg3 Kf5 26. Rh3 Nxd4 27. exd4 Kf4 28. Rxh7 Rd6 29. Rf7+ Kg5 30. Rxb7 a5 31. Rb5+ Kf6 32. Rxa5 Rb6 33. Kc3 Re6 34. Re5 Rb6 35. a4 Ra6 36. a5 g5 37. Rc5 g4 38. Kb4 Ra8 39. Rc6+ Kf5 40. Kb5 Kf4 41. a6 Ke4 42. Kb6 Kxd4 43. Kb7 Rf8 44. a7 Rxf2 45. a8=Q Rxg2 46. Qa4+ Ke5 47. Rc5+ Kf6 48. Qa6+ Kg7 49. Rc7+ Kf8 50. Qa8# 1-0,0.0,L,Worst Player,1706,imeverywhere_xd,-4,Queen's Gambit Accepted,INT
15,Rated Bullet,2021-02-13 22:34:00,Antichess-player,santificex,1-0,1717,1712,6,-6,Standard,60+0,A07,Normal,. g3 e5 3. Bg2 e4 4. Ng1 f5 5. e3 Nf6 6. d3 Nc6 7. Ne2 Bb4+ 8. Bd2 Bd6 9. O-O Bd7 10. dxe4 O-O 11. exd5 Ne7 12. c4 c6 13. dxc6 Bxc6 14. Nbc3 Bxg2 15. Kxg2 Nc6 16. Nf4 Ne4 17. Nxe4 fxe4 18. Nd5 Qg5 19. Nf4 Ne5 20. Bc3 Nf3 21. h4 Qg4 22. Qxd6 Rac8 23. Qd5+ Kh8 24. Qd7 Rcd8 25. Qxg4 Rf7 26. Ne6 Re8 27. Nxg7 Rg8 28. Ne6+ Rfg7 29. Bxg7+ Rxg7 30. Qxg7# 1-0,0.0,L,Better Player,1712,Antichess-player,-6,Reti: KIA,INT
16,Rated Bullet,2021-02-13 22:24:00,santificex,Mudball99,1-0,1706,1681,6,-5,Standard,60+0,D38,Time forfeit,. c4 e6 3. Nf3 Bb4+ 4. Nc3 d5 5. e3 Nbd7 6. a3 Bxc3+ 7. bxc3 O-O 8. Be2 dxc4 9. O-O a6 10. a4 b5 11. axb5 Bb7 12. bxa6 Rxa6 13. Rxa6 Bxa6 14. Ba3 Nb6 15. Bxf8 Qxf8 16. Ne5 Qa3 17. Qa1 Qxa1 18. Rxa1 Bb5 19. h3 Ne4 20. f3 Nxc3 21. Bf1 Ncd5 22. Ra5 Be8 23. e4 Ne3 24. d5 exd5 25. exd5 Nbxd5 26. Bxc4 Nxc4 27. Rxd5 Nxe5 28. Rxe5 Kf8 29. Rc5 c6 30. Kf2 g6 31. Ke3 f5 32. g3 Kf7 33. Kd4 Kf6 34. f4 h5 35. h4 Bd7 36. Kc4 Ke6 37. Kd4 Kd6 38. Ra5 Kc7 39. Ra7+ Kc8 40. Ra1 Kc7 41. Kc5 Kc8 42. Ra7 Kd8 43. Kd6 1-0,1.0,W,Worst Player,1706,Mudball99,6,QGD: Ragozin,INT
17,Rated Bullet,2021-02-13 22:22:00,santificex,zitounov,0-1,1712,1727,-6,5,Standard,60+0,A43,Normal, c4 cxd4 3. Qxd4 Nc6 4. Qd1 Nf6 5. Nf3 e6 6. e3 Be7 7. Be2 O-O 8. O-O d5 9. Nc3 a6 10. cxd5 Nxd5 11. Nxd5 exd5 12. b4 Bxb4 13. Bb2 Be7 14. Nd4 Nxd4 15. Qxd4 Bf6 16. Qd2 Be6 17. Bxf6 Qxf6 18. f4 b5 19. Bf3 Rfd8 20. Rad1 Rac8 21. Qb4 Rc4 22. Qd2 d4 23. exd4 Rdxd4 24. Qf2 Rxd1 25. Rxd1 g6 26. h3 Rxf4 27. Qe3 Bc4 28. Kf2 Kg7 29. Qd4 Rxd4 30. Rxd4 Qxd4+ 31. Kg3 h5 32. h4 f5 33. Kh3 Qe3 34. Kg3 Be2 35. a3 Bxf3 36. gxf3 f4+ 37. Kg2 Qe2+ 38. Kh3 Qxf3+ 39. Kh2 Qg3+ 40. Kh1 f3 41. a4 Qg2# 0-1,0.0,L,Better Player,1712,zitounov,-6,Old Benoni,INT
18,Rated Bullet,2021-02-13 22:18:00,SultanAlShaman,santificex,0-1,1705,1706,-6,6,Standard,60+0,D00,Time forfeit, d4 e5 3. c4 e4 4. cxd5 Qxd5 5. Qc2 Qa5+ 6. Nc3 Nf6 7. Bd2 c6 8. Nxe4 Qd8 9. Ng3 Bd6 10. Nf3 Bxg3 11. hxg3 Na6 12. Bxa6 bxa6 13. O-O Bb7 14. Rfc1 O-O 15. Qc5 Nd5 16. e4 Ne7 17. Qh5 g6 18. Qh6 f6 19. Bc3 f5 20. d5 Rf7 21. Rd1 cxd5 22. exd5 Bxd5 23. Rd4 Qd6 24. Rad1 Qf6 25. Ne5 Qg7 26. Nxf7 Qxh6 27. Nxh6+ Kg7 28. Nxf5+ Nxf5 29. Rxd5+ Kf7 30. Rxf5+ gxf5 31. f3 Re8 32. Kh2 Re2 33. Rd2 Re1 34. a3 Re6 35. g4 Rc6 36. gxf5 h5 37. Kh3 Kf8 38. Kh4 Ke7 0-1,1.0,W,Worst Player,1706,SultanAlShaman,6,Queen's Pawn Game,INT
19,Rated Bullet,2021-02-13 22:14:00,santificex,Two_Trees,1-0,1701,1653,5,-5,Standard,60+0,D45,Time forfeit, c4 e6 3. Nf3 c6 4. Nc3 Nf6 5. e3 h6 6. Be2 Qc7 7. O-O Nbd7 8. g3 a6 9. c5 b6 10. b4 a5 11. Ba3 axb4 12. Bxb4 bxc5 13. Bxc5 Nxc5 14. dxc5 Bxc5 15. a4 Bb7 16. Qc2 Bd6 17. Kg2 e5 18. e4 Nxe4 19. Nxe4 dxe4 20. Nd2 c5 21. Nc4 e3+ 22. f3 Bc6 23. Nxd6+ Qxd6 24. Qc4 Qd4 25. Qxd4 exd4 26. Bc4 O-O 27. Rfe1 Bb7 28. Kh3 Bc6 29. f4 Rxa4 30. Rxa4 Bxa4 31. Kg4 Kh7 32. Kf5 g6+ 33. Ke5 Rc8 34. Kd5 f6 35. h4 g5 36. hxg5 hxg5 37. fxg5 fxg5 38. g4 Kg6 39. Rg1 Rd8+ 40. Ke4 Rc8 41. Kd5 Rb8 42. Kxc5 Rc8+ 43. Kxd4 1-0,1.0,W,Worst Player,1701,Two_Trees,5,Semi-Slav: 5.e3,INT
20,Rated Bullet,2021-02-13 22:12:00,santificex,VlPutin,1-0,1696,1670,5,-5,Standard,60+0,A40,Time forfeit, c4 Bb7 3. Nf3 d6 4. e3 Nd7 5. Be2 c5 6. O-O cxd4 7. exd4 e5 8. d5 Ne7 9. Nc3 f6 10. Be3 g5 11. h3 Bh6 12. g4 f5 13. Nd2 f4 14. Bxf4 gxf4 15. Nf3 Ng6 16. Bd3 Nh4 17. Nxh4 Qxh4 18. Qf3 Nf6 19. Ne4 Nxe4 20. Bxe4 O-O 21. Bf5 Bc8 22. Bxc8 Raxc8 23. b3 a5 24. a4 Rf7 25. Rae1 Rg7 26. Re4 Bg5 27. Kh2 Bf6 28. Rg1 Rg6 29. g5 Bg7 30. Rg4 Qh5 31. Re1 h6 32. Reg1 hxg5 33. Rxg5 Rxg5 34. Rxg5 Qxg5 35. h4 Qxh4+ 36. Kg2 1-0,1.0,W,Worst Player,1696,VlPutin,5,Queen's Pawn Game,INT
21,Rated Bullet,2021-02-13 22:10:00,Gr3gory,santificex,1-0,1698,1701,6,-5,Standard,60+0,C25,Time forfeit, Nc3 d6 3. Nf3 Nf6 4. d4 Nc6 5. dxe5 dxe5 6. Qxd8+ Nxd8 7. Nxe5 Bb4 8. Bg5 Bxc3+ 9. bxc3 Nd7 10. Nxd7 Kxd7 11. O-O-O+ Ke8 12. Bc4 f6 13. Bh4 Be6 14. Bb3 Bxb3 15. cxb3 Kf7 16. e5 fxe5 17. Rhe1 Ke6 18. f4 h6 19. Rxe5+ Kf7 20. Re7+ Kg6 21. Rxc7 Ne6 22. Rxb7 Nxf4 23. Rd6+ Kf5 24. Bg3 Ne2+ 25. Kd2 Nxg3 26. hxg3 Rhe8 27. Rd5+ Re5 28. Rf7+ Ke6 29. Rxe5+ Kxe5 30. Rxg7 Rd8+ 31. Ke3 Rd6 32. Rxa7 Kf5 33. c4 Re6+ 34. Kf3 Rf6 35. g4+ Kg5+ 36. Kg3 h5 37. Ra5+ Kg6 38. gxh5+ Kg7 39. Kh2 Rf2 40. Kh3 Rb2 41. g3 Kf6 42. g4 Rb1 43. Kh4 Rh1+ 44. Kg3 Rg1+ 45. Kh2 1-0,0.0,L,Worst Player,1701,Gr3gory,-5,Vienna Game,INT
22,Rated Bullet,2021-02-13 22:06:00,benyseven,santificex,0-1,1683,1696,-6,5,Standard,60+0,B01,Time forfeit, exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Nf3 e6 6. Be2 Bb4 7. O-O Nc6 8. a3 Bxc3 9. bxc3 O-O 10. Bb2 a6 11. c4 a5 12. d5 exd5 13. cxd5 Nxd5 14. Nd4 Nf6 15. Nxc6 Qxd1 16. Raxd1 bxc6 17. Bxf6 gxf6 18. Bf3 Bb7 19. Rd7 Rac8 20. Re1 Kg7 21. Ree7 Kg6 22. Be4+ f5 23. Bd3 c5 24. g4 Kf6 25. Bxf5 Rce8 26. Rxe8 Rxe8 27. Rd1 Bf3 28. h3 Bxd1 29. Kh2 Re2 30. Kg3 Bxc2 31. Bd7 Rd2 32. Bb5 Rd3+ 33. Bxd3 Bxd3 34. Kf4 Bb5 35. Ke4 c4 36. Kd4 Ke6 37. a4 Ba6 38. Kc3 Kd6 39. f4 Kd5 40. h4 Ke4 41. f5 Kf4 42. g5 Kxf5 43. g6 fxg6 44. h5 gxh5 45. Kd4 Kg4 46. Kc3 Kg3 0-1,1.0,W,Worst Player,1696,benyseven,5,Scandinavian (Centre Counter),INT
23,Rated Bullet,2021-02-13 22:04:00,santificex,DonsuzFare,0-1,1700,1768,-4,5,Standard,60+0,D06,Normal,. c4 d5 3. Nf3 Bf5 4. e3 e6 5. Be2 Be7 6. O-O c6 7. Nc3 Nbd7 8. c5 b6 9. b4 a5 10. a3 axb4 11. Na2 bxa3 12. Qb3 bxc5 13. dxc5 Nxc5 14. Qc3 Qd6 15. Nb4 Rc8 16. Bxa3 Nfe4 17. Qd4 Bf6 18. Qd2 Nxd2 19. Nd3 Nxf3+ 20. Bxf3 Bxd3 21. Rfd1 Bxa1 22. Rxa1 Bb5 23. g3 O-O 24. Rc1 Ra8 25. Bxc5 Qd7 26. Bxf8 Kxf8 27. Kg2 Ra2 28. Bg4 h6 29. Kh3 Qd6 30. f4 Qe7 31. f5 e5 32. e4 Qg5 33. Rb1 Ra5 34. Bf3 dxe4 35. Bxe4 Qh5+ 36. Kg2 Ra2+ 37. Kh1 Qxh2# 0-1,0.0,L,Better Player,1700,DonsuzFare,-4,Queen's Gambit,INT
